ID,Téma,Kérdés,A,B,C,D,Helyes
1,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
2,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
3,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
4,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
5,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
6,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
7,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
8,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
9,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
10,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
11,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
12,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
13,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
14,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
15,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
16,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
17,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
18,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
19,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
20,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
21,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
22,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
