ID,Téma,Kérdés,A,B,C,D,Helyes
2,Bevezetés,"Mit jelent a ""feature selection"" a képfeldolgozásban?",Az eredményt legjobban befolyásoló tulajdonságok kiválasztása,A kategória változók konvertálása numerikussá,A tulajdonságok véletlenszer_ kiválasztása a modellezéshez,A kategória változok konvertálása bináris változókká,B
2,Bevezetés,Mi az d n-gram a természetes nyelvi feldolgozásban?,n dokumentumban lév_ szóegyezések,n darab azonos szó egy szövegben,n egységb_l álló szekvencia egy szövegben,n elem vektor a természetes nyelvi feldolgozásban,C
2,Bevezetés,Az SVM módszernél milyen eloszlást feltételezünk a bemen_ adatok esetén?,Binomiális eloszlást feltételezünk,Normális eloszlást feltételezünk.,Egyenletes eloszlást feltételezünk,Nem feltételezünk semmilyen eloszlást,B
2,Bevezetés,Hány paramétere van a BERT modellnek?,Néhány százezer,"Kevesebb, mint 10 millió","Több, mint 100 millió","Több, mint 10 millió, de kevesebb, mint 100 millió",C
2,Bevezetés,"Mit jelent a ""specificity"" érték egy dokumentum keresésénél?",A nem relevánsnak ítélt dokumentumok aránya a relevánsnak ítéltekhez képest.,A nem relevánsnak ítélt dokumentumok aranya összes dokumentumhoz képest. //igen,A nem relevánsnak ítélt dokumentumok aranya az összes dokumentumhoz képest.,A nem relevánsnak ítélt dokumentumok aranya az összes nem releváns dokumentumhoz,A
2,Bevezetés,Mi a BERT modell?,"Angol nyelv_, a természetes nyelvi feldolgozásban használható témamodell.",Természetes nyelvi feldolgozásban használható felügyelt tanulási modell.,Természetes nyelvi feldolgozásban használható el_re tanított modell.,Természetes nyelvi feldolgozásban használható felügyelet nélküli modell.,B
2,Bevezetés,Az alábbiak AUC értékek közül melyik jellemzi a legjobb modellt?,AUC=0,"AUC=0,5","AUC=0,78","AUC=0,76",C
2,Bevezetés,Hogyan m_ködik a konvolúciós neurális haló?,A paraméterek csökkentése érdekében egy csúszó sz_r_t alkalmaz a képeken és a sz_r_ által,A képen lévé torzításokat tünteti el.,A képen lévé arcok kontúrjainak javítására szolgál.,A rejtett rétegek neuronjainak aktivációs függvényeit határozza meg.,D
2,Bevezetés,"Mit jelent a ""feature extraction"" a képfeldolgozási algoritmusban?",Az arcfelismerésben egy-egy jellegzetes arc részlet kiemelése,Az arc elhelyezkedésének korrigálása,"A""feature extraction"" képek jellemz_inek numerikus, informatív formában való",A mélytanuló algoritmusokban a rejtett halók tulajdonságainak kiemelése.,C
2,Bevezetés,képek feldolgozása?,28x28,Ez az elemz_ döntése a kép szerkezete alapján.,Független a kép méretétél,28x28x3,B
2,Bevezetés,Mire használjuk a konvolúciós neurális hálót?,Képek pixel szint_ összehasonlítására.,Színes képek szürke árnyalatos képekké való konvertálására,Képek jellemz_inek kinyerésére klasszifikációs célból,Képek közötti távolságok meghatározására.,B
2,Bevezetés,"Mit jelent az, hogy az adatok kiegyensúlyozatlanok egy felügyelt gépi tanulásnál?",A tanuló adatok eloszlása jelent_sen eltér a normális eloszlásól.,A tesztadatok eloszlása jelentésen eltér a tanuló adatok eloszlásától,A tanuló és a tesztadatok esetén a célosztályba tartozó adatok mennyiségének aránya,A célosztályba tartozó adatok mennyisége jelentésen eltér a nem célosztályba tartozó,B
2,Bevezetés,Mi a felügyelt és a felügyelet nélküli tanulás közötti különbség?,"A felügyelt tanulás esetén az elemz_ folyamatosan figyeli az algoritmus futását és, ha",A felügyelt tanulás esetén mindig optimalizáljuk a következ_ lépést.,A tanulás során az adatok kiválasztását el_re meghatározzuk,"A felügyelt tanulás esetén tudjuk, hogy mely objektumok tartoznak a célosztályba.",B
2,Bevezetés,"Hogyan számoljuk ki a ""recall"" értékét egy kétosztályos klasszifikációnál?",(TP+TN) / (TP+TN+FP+FN),TP/(TP+TN+FP+FN),TP/(TP+TN),TP/(TP+FN),C
2,Bevezetés,Mi a batch méret egy neurális háló modellnél?,A minta változóinak mérete.,A minta gépi tanulásban egyszerre használt részének mérete.,A minta halmaz mérete.,A minta változóinak száma.,B
2,Bevezetés,Hogyan lehet osztályozni az SVM modellben a két dimenzióban nem szeparálható halmazokat?,A kernel módszerrel.,Több hipersíkkal,Perceptronnal,Magasabb fokú polinommal leírható felülettel,C
2,Bevezetés,Mit nevezünk konvolúciós algoritmusnak a neurális hálók tanításánál?,Amikor az algoritmus csak minden n-edik pixelt veszi figyelembe.,Amikor az algoritmus egyszerre több képet dolgoz fel.,Amikor az algoritmus egyszerre csak egy kis részét (például 3x3 pixel) dolgozza fel a képnek.,Amikor az algoritmus minden kis kép részletb_l kiválasztja a leginkább reprezentatív pixelt.,C
2,Bevezetés,Mit jelent a felügyelt gépi tanulás a természetes nyelvi elemzésben?,A szövegek gépi eszközökkel történ_ folytatása el_re kijelölt kulcsszavakkal,A dokumentumokban el_forduló szavak alapján történ_ klasszifikáció,A dokumentumokban el_forduló kifejezések alapján történ_ klasszifikáció,Nyelvtani kategóriák vagy más szempontok alapján címkézett szövegek elemzése.,B
2,Bevezetés,Mit jelent a túlillesztés egy gépi tanuló modell esetén?,"A modell sokkal pontosabb a tesztadatokon, mint a tanuló adatokon",A modell AUC értéke 1,"A modell AUC értéke 0 és 0,5 között van","A tanuló adatokon a modell sokkal pontosabb, mint a tesztadatokon.",B
2,Bevezetés,Az alábbiak közül melyek a döntési fa módszerben alkalmazott döntési paraméter?,Entrópia nyereség,F1 mutató,Kappa statisztika,ROC görbe,C
3,Felügyelt és nem felügyelt tanítás,Mit jelent egy epoch egy neurális haló modellnél?,A teljes minta iterációinak mérete egy tanulási ciklusban.,Egy epoch a minta egy elemének használata a tanulásban.,Egy epoch a tanulási folyamat az indítástól a stop kritérium teljesüléséig.,A teljes minta egyszeri használata a gépi tanulásban.,C
3,Felügyelt és nem felügyelt tanítás,Mi a mélytanulás?,"Olyan neurális haló, amelyben a rejtett rétegek közötti összeköttetések száma egymillió","Több, rejtett réteggel rendelkez_ neurális haló gépi tanulása.","Olyan neurális haló, amelyben a rétegekben lévé neuronok szám meghaladja az ezret.",,B
3,Felügyelt és nem felügyelt tanítás,Mi a dropout célja egy neurális háló modellnél?,A hibás adatok miatt kies_ rétegek pótlása.,A hibás adatok miatt kies_ neuronok pótlása.,A túllillesztés elkerülése.,Az alulillesztés elkerülése,B
3,Felügyelt és nem felügyelt tanítás,"Ha csökkentjük a sensitivity értéket, mi történik a specificity értékkel?",A modellt_l függ.,Csökken,Változatlan,Növekszik,C
3,Felügyelt és nem felügyelt tanítás,Hogyan számoljuk ki az “accuracy” értéket egy kétosztályos klasszifikációnál?,TP/(TP+TN+FP+FN),TP/(TP+TN),TP/TN,(TP+TN)/(TP+TN+FP+FN),D
3,Felügyelt és nem felügyelt tanítás,"Miért fontos, hogy egy neurális haló neuronjainak aktivációs függvénye differenciálható legyen?",A differenciálhatóság gyorsabb feldolgozást tesz lehet_vé,"Ha egy függvény nem differenciálható, akkor nincs globális minimuma.",A differenciálhatóság a hiba-visszaterjesztési algoritmus feltétele,Ez szükséges a lokális minimumok elkerüléséhez.,C
3,Felügyelt és nem felügyelt tanítás,A témamodellezés felügyelt vagy felügyelet nélküli tanulás?,Felügyelt,Mindkett_ lehet,Egyik sem,Felügyelet nélküli,B
3,Felügyelt és nem felügyelt tanítás,Mit jelent a témamodellezés?,Dokumentumok témájának kimutatására használt statisztikai eszköz,Dokumentumok témájának kimutatására használt gradiens módszer,Tipikus témák modelljeinek felállítása neuralis hálóval,Aktuális témák keresése webes dokumentumokban,B
3,Felügyelt és nem felügyelt tanítás,Mi az arcfelismerés lényege?,"Két, vagy több arckép összehasonlítása",Egy arckép legfontosabb jellemz_inek kinyerése,Arcképek osztályozása jellemz_ik alapján,"Egy, az inputon megadott arckép megkeresése egy arckép adatbázisban.",B
3,Felügyelt és nem felügyelt tanítás,Miért használjuk a szürke árnyalatú képeket a képfeldolgozás feladatainak többségében?,"Mert a szürke árnyalatú képek több információt tartalmaznak, mint a színes képek.",Mert a szín információt nem tudjuk összehasonlítani.,Mert a színeket nem tudjuk pontosan tarolni.,Mert a szín információra többnyire nincs szükség a feladatokban.,B
3,Felügyelt és nem felügyelt tanítás,Mi a deepfake?,"Gépi tanuló eszközökkel létrehozott, a valóságban nem létezé kép vagy video.",Muzeális érték_ festmények hamisítása mélytanuló eszközökkel,Hamis ügyfélszolgalati robot beállítása csalási célb_l.,A meger_sített gépi tanulás egy fajtája.,B
3,Felügyelt és nem felügyelt tanítás,"Mit jelent a ""sensitivity"" érték egy dokumentum keresésénél?",A meg nem talált releváns dokumentumok aránya az összes nem releváns dokumentumhoz.,A megnem talált releváns dokumentumok aranya az összes dokumentumhoz,A meg talált releváns dokumentumok aranya az összes releváns dokumentumhoz.,A megtalált releváns dokumentumok aránya az összes releváns dokumentumhoz.,B
3,Felügyelt és nem felügyelt tanítás,Mi a dimenziócsökkentés célja a gépi tanulásnál?,A cél az síkban történ_ ábrázolás lehetévé tétele,Azismeretlen hatású paraméterek kisz_rése,"A modell gyorsabb, hatékonyabb létrehozása.",A modell tesztelése kevesebb tulajdonsággal,C
3,Felügyelt és nem felügyelt tanítás,Mit jelent a sztochasztikus gradiens módszer a gépi tanulásnál?,Az iteratív optimalizálásnál véletlen hibafüggvényt számol,Random mintavétel alapján közelít_ gradienssel számol az optimalizálásnál.,A hibafüggvény minimalizálásánál véletlen optimumot keres.,A hibafüggvényt véletlenszer_en optimalizálja.,B
